Number;Name;Released_date;Retired_date;Retail;Value
2518-1;Nuckal's ATV;04.01.2011;07.03.2012;24.99;66.09
2519-1;Skeleton Bowling;04.01.2011;08.01.2012;29.99;136.39
2520-1;Ninjago Battle Arena;04.01.2011;30.03.2012;49.99;94.98
2521-1;Lightning Dragon Battle;24.08.2011;12.11.2011;79.99;547.19
10217-1;Diagon Alley;04.01.2011;04.01.2013;149.99;396.74
8083-1;Rebel Trooper Battle Pack;30.12.2009;27.12.2011;14.99;30.59
8084-1;Snowtrooper Battle Pack;30.12.2009;26.12.2011;14.99;26.15
8085-1;Freeco Speeder;30.12.2009;04.12.2011;26.99;47.93
8086-1;Droid Tri-Fighter;30.12.2009;29.11.2011;26.99;88.94
8087-1;TIE Defender;30.12.2009;25.12.2010;49.99;182.56
8088-1;ARC-170 Starfighter;30.12.2009;05.05.2012;69.99;322.46
8089-1;Hoth Wampa Cave;30.07.2010;23.11.2011;49.99;148.21
8093-1;Plo Koon's Jedi Starfighter;30.07.2010;15.12.2011;26.99;162.79
8096-1;Emperor Palpatine's Shuttle;30.07.2010;10.12.2011;69.99;155.33
8097-1;Slave I;30.07.2010;26.11.2011;89.99;163.70
8098-1;Clone Turbo Tank;30.07.2010;11.04.2012;129.99;375.59
21100-1;Shinkai 6500 Submarine;17.02.2001;17.02.2003;49.99;1231.95
7748-1;Corporate Alliance Tank Droid;28.06.2009;28.11.2010;26.99;101.39
7749-1;Echo Base;28.06.2009;28.11.2010;29.99;66.00
8014-1;Clone Walker Battle Pack;28.12.2008;18.12.2010;14.99;87.99
8015-1;Assassin Droids Battle Pack;28.12.2008;03.12.2010;14.99;37.51
8016-1;Hyena Droid Bomber;28.12.2008;03.12.2010;26.99;112.81
8017-1;Darth Vader's TIE Fighter;28.12.2008;28.11.2010;26.39;179.73
8018-1;Armored Assault Tank;28.12.2008;28.11.2010;49.99;205.04
8019-1;Republic Attack Shuttle;28.12.2008;28.11.2010;69.99;294.48
8036-1;Separatist Shuttle;28.06.2009;28.11.2010;36.99;112.23
8037-1;Anakin's Y-wing Starfighter;28.06.2009;11.12.2010;69.99;237.60
8039-1;Venator-Class Republic Attack Cruiser;28.06.2009;03.12.2010;139.99;575.56
COMCON006-1;Comic-Con Collectable Display Set 4;26.07.2009;26.07.2009;43.99;1903.73
COMCON010-1;San Diego Comic-Con 2009 Mini Republic Dropship Mini AT-TE;22.07.2009;22.07.2009;43.99;1167.24
7667-1;Imperial Dropship;22.12.2007;17.04.2009;8.79;56.50
7668-1;Rebel Scout Speeder;22.12.2007;08.05.2009;8.79;62.00
7669-1;Anakin's Jedi Starfighter;22.12.2007;10.11.2009;25.99;104.02
7670-1;Hailfire Droid & Spider Droid;22.12.2007;24.11.2009;17.59;141.98
7671-1;AT-AP Walker;22.12.2007;19.06.2009;46.99;154.00
7673-1;MagnaGuard Starfighter;28.07.2008;02.12.2009;45.99;167.19
7674-1;V-19 Torrent;28.07.2008;04.12.2009;64.99;300.44
7675-1;AT-TE Walker;28.07.2008;14.06.2010;68.49;563.33
7676-1;Republic Attack Gunship;28.07.2008;24.06.2010;139.99;646.87
7679-1;Republic Fighter Tank;19.10.2008;17.12.2009;49.99;275.97
7680-1;The Twilight;28.07.2008;29.11.2009;99.99;308.94
7681-1;Separatist Spider Droid;28.07.2008;06.12.2009;26.39;349.25
7654-1;Droids Battle Pack;24.10.2007;11.09.2008;12.99;77.44
7655-1;Clone Troopers Battle Pack;24.10.2007;11.09.2008;12.99;87.10
7656-1;General Grievous Starfighter;24.10.2007;05.12.2008;17.59;96.79
7657-1;AT-ST;24.10.2007;11.09.2008;17.59;78.72
7658-1;Y-Wing Fighter;24.10.2007;18.09.2008;39.99;87.99
7659-1;Imperial Landing Craft;24.10.2007;19.12.2008;43.99;156.93
7660-1;Naboo N-1 Starfighter with Vulture Droid;24.10.2007;27.03.2009;26.39;114.63
7661-1;Jedi Starfighter with Hyperdrive Booster Ring;24.10.2007;28.01.2009;66.99;296.71
7662-1;Trade Federation MTT;24.10.2007;18.12.2008;87.99;791.99
7663-1;Sith Infiltrator;24.10.2007;04.12.2008;26.39;103.68
7665-1;Republic Cruiser;24.10.2007;08.12.2008;99.99;413.20
7666-1;Hoth Rebel Base;24.10.2007;16.01.2009;59.99;198.75
4496-3;Fun With Building Tub;01.01.2006;01.01.2008;21.99;246.40
6211-1;Imperial Star Destroyer;01.06.2006;08.04.2008;87.99;387.20
4499574-1;Tic Tac Toe;24.10.2007;03.01.2008;39.99;90.82
6967-1;ARC  Fighter;01.01.2005;01.01.2007;0.00;14.96
7283-1;Ultimate Space Battle;01.01.2005;01.01.2007;43.99;670.58
5233-2;Bedroom;01.01.1980;01.01.1982;3.07;14.04
30423-1;Anchor-Jet;01.06.2016;01.06.2018;10.55;14.51
30424-1;WU-CRU Training Dojo;01.06.2016;01.06.2018;9.99;13.37
41132-1;Heartlake Party Shop;01.08.2016;17.09.2017;29.99;39.37
853544-1;NINJAGO Accessory Set;01.06.2016;14.01.2020;12.99;26.40
911612-1;Acklay;01.01.2016;01.02.2016;0.00;6.34
TRUPODIUM-1;Winner's Podium;18.06.2016;18.06.2016;0.00;10.45
41490-1;San Diego Comic-Con Superman & Wonder Woman;23.07.2016;23.07.2016;39.99;812.06
41491-1;San Diego Comic-Con Batman & The Joker;21.07.2016;21.07.2016;39.99;1033.92
41492-1;San Diego Comic-Con Iron Man & Captain America;24.07.2016;24.07.2016;39.99;805.47
41493-1;San Diego Comic-Con Black Panther & Doctor Strange;22.07.2016;22.07.2016;39.99;940.47
5004398-1;Friends Playmat;01.01.2016;01.01.2018;17.59;79.16
471602-1;Pony Grooming Kit;01.01.2016;01.02.2016;0.00;4.78
911613-1;TIE Bomber;01.08.2016;01.09.2016;0.00;4.19
911614-1;Yoda's Hut;01.01.2016;01.02.2016;0.00;6.35
853609-1;Skin Pack;17.09.2016;07.03.2020;12.99;29.03
853610-1;Skin Pack;17.09.2016;02.05.2020;12.99;26.36
10654-1;XL Creative Brick Box;06.10.2016;25.12.2016;59.99;93.57
21307-1;Caterham Seven 620R;01.10.2016;01.10.2018;79.99;105.22
75119-1;Sergeant Jyn Erso;01.10.2016;04.04.2018;24.99;20.08
75120-1;K-2SO;01.10.2016;16.02.2018;24.99;39.59
75121-1;Imperial Death Trooper;01.10.2016;22.02.2018;24.99;26.45
75152-1;Imperial Assault Hovertank;01.10.2016;25.11.2017;39.99;92.66
75153-1;AT-ST Walker;01.10.2016;09.11.2017;49.99;75.76
75154-1;TIE Striker;01.10.2016;15.02.2018;69.99;116.27
75155-1;Rebel U-wing Fighter;01.10.2016;19.07.2018;79.99;196.64
75156-1;Krennic's Imperial Shuttle;01.10.2016;05.08.2018;99.99;224.53
911615-1;AT-AT;01.09.2016;01.10.2016;0.00;8.02
911616-1;MTT;01.11.2016;01.12.2016;0.00;4.20
TRUCOGSWORTH-1;Cogsworth;17.09.2016;17.09.2016;0.00;7.07
21306-1;The Beatles Yellow Submarine;01.11.2016;14.12.2017;59.99;166.06
41149-1;Moana's Island Adventure;27.11.2016;10.12.2017;29.99;43.08
41150-1;Moana's Ocean Voyage;27.11.2016;11.01.2019;39.99;79.19
60146-1;Stunt Truck;27.11.2016;20.11.2017;9.99;14.96
60149-1;4x4 with Catamaran;27.11.2016;25.11.2017;19.99;22.18
561608-1;Cake Stall;01.01.2016;01.02.2016;0.00;3.63
561610-1;Halloween Shop;01.01.2016;01.02.2016;0.00;2.97
911617-1;Palpatine's Shuttle;01.11.2006;01.12.2006;0.00;4.52
911618-1;Flash Speeder;01.12.2016;01.01.2017;0.00;4.75
10255-1;Assembly Square;02.01.2017;01.02.2024;299.99;275.64
10703-1;Creative Builder Box;27.12.2016;13.12.2018;24.99;56.18
10704-1;Creative Box;27.12.2016;21.12.2018;34.99;52.78
10706-1;Blue Creative Box;17.02.2017;24.11.2018;4.99;8.52
10707-1;Red Creative Box;17.02.2017;25.11.2018;4.99;5.39
10708-1;Green Creative Box;17.02.2017;24.11.2018;4.99;8.80
10709-1;Orange Creative Box;17.02.2017;26.11.2018;4.99;6.25
21129-1;The Mushroom Island;17.02.2017;03.12.2018;19.99;45.72
21130-1;The Nether Railway;17.02.2017;04.02.2019;39.99;62.54
21131-1;The Ice Spikes;17.02.2017;15.01.2018;49.99;99.67
21132-1;Jungle Temple;17.02.2017;22.11.2017;59.99;178.45
21133-1;The Witch Hut;17.02.2017;22.11.2017;69.99;176.10
21134-1;The Waterfall Base;17.02.2017;30.11.2018;89.99;99.62
21308-1;Adventure Time;27.12.2016;29.01.2019;49.99;47.50
30400-1;Gymnastic Bar;01.01.2017;01.01.2019;3.51;4.29
30401-1;Pool Foam Slide;01.06.2016;01.06.2018;5.27;9.61
30425-1;CRU Master's Training Grounds;01.01.2017;01.01.2019;3.51;8.92
30426-1;Stealthy Swamp Airboat;01.09.2017;01.09.2017;0.00;5.58
30475-1;Off Roader;01.01.2017;01.01.2019;0.00;7.02
30476-1;Happy Turtle;01.01.2017;01.01.2019;2.63;7.23
30477-1;Chameleon;01.01.2017;01.01.2019;3.51;4.95
30496-1;U-Wing Fighter;01.05.2017;01.05.2017;3.51;4.93
30551-1;Cinderella's Kitchen;01.01.2017;01.01.2019;3.51;8.14
40171-1;Hedgehog Storage;17.01.2017;27.02.2018;12.99;22.00
40252-1;Mini VW Beetle;01.04.2017;15.04.2017;8.79;23.74
41143-1;Berry's Kitchen;02.01.2017;16.02.2018;6.99;7.01
41144-1;Petite's Royal Stable;02.01.2017;18.03.2018;9.99;22.68
41300-1;Puppy Championship;02.01.2017;23.02.2018;19.99;27.59
41301-1;Puppy Parade;02.01.2017;03.12.2017;14.99;18.24
41302-1;Puppy Pampering;02.01.2017;27.11.2017;4.99;7.53
41303-1;Puppy Playground;02.01.2017;20.11.2017;4.99;8.98
41304-1;Puppy Treats & Tricks;02.01.2017;25.11.2017;4.99;9.87
41305-1;Emma's Photo Studio;02.01.2017;02.12.2017;9.99;14.29
41306-1;Mia's Beach Scooter;02.01.2017;14.12.2017;9.99;21.21
41307-1;Olivia's Inventor Lab;02.01.2017;25.11.2017;9.99;16.86
41308-1;Stephanie's Friendship Cakes;02.01.2017;25.11.2017;9.99;17.59
41309-1;Andrea's Musical Duet;02.01.2017;28.11.2017;9.99;13.65
41310-1;Heartlake Gift Delivery;02.01.2017;30.12.2017;19.99;29.06
41311-1;Heartlake Pizzeria;02.01.2017;03.01.2019;29.99;48.82
41312-1;Heartlake Sports Centre;02.01.2017;12.12.2017;39.99;40.42
41313-1;Heartlake Summer Pool;02.01.2017;14.07.2019;49.99;57.20
41314-1;Stephanie's House;02.01.2017;25.11.2019;69.99;109.96
41585-1;Batman;01.03.2017;24.11.2017;9.99;44.21
41586-1;Batgirl;01.03.2017;04.04.2018;9.99;14.26
41587-1;Robin;01.03.2017;16.03.2018;9.99;18.43
41588-1;The Joker;01.03.2017;20.03.2018;9.99;26.43
41589-1;Captain America;01.03.2017;10.12.2017;9.99;43.59
41590-1;Iron Man;01.03.2017;18.12.2017;9.99;35.17
41591-1;Black Widow;01.03.2017;03.04.2018;9.99;13.19
41592-1;The Hulk;01.03.2017;14.12.2017;9.99;27.17
41595-1;Belle;01.03.2017;04.02.2018;9.99;33.53
41596-1;Beast;01.03.2017;23.01.2018;9.99;14.50
60151-1;Dragster Transporter;02.01.2017;24.11.2017;29.99;65.59
70621-1;The Vermillion Attack;02.01.2017;25.11.2017;9.99;31.74
70622-1;Desert Lightning;02.01.2017;26.11.2017;19.99;74.81
70623-1;Destiny's Shadow;02.01.2017;27.11.2017;29.99;88.00
70624-1;Vermillion Invader;02.01.2017;28.11.2017;29.99;116.97
70625-1;Samurai VXL;02.01.2017;24.11.2017;39.99;132.00
70626-1;Dawn of Iron Doom;02.01.2017;24.11.2017;59.99;395.89
70627-1;Dragon's Forge;02.01.2017;28.11.2017;79.99;210.69
75160-1;U-wing;17.02.2017;14.04.2018;9.99;13.12
75161-1;TIE Striker;17.02.2017;23.11.2018;9.99;13.26
75162-1;Y-wing;17.02.2017;03.11.2017;9.99;18.09
75163-1;Krennic's Imperial Shuttle;17.02.2017;16.12.2017;9.99;14.81
75164-1;Rebel Trooper Battle Pack;17.02.2017;21.12.2017;14.99;31.89
75165-1;Imperial Trooper Battle Pack;17.02.2017;06.12.2017;14.99;48.23
75168-1;Yoda's Jedi Starfighter;17.02.2017;14.04.2018;29.99;40.44
75169-1;Duel on Naboo;17.02.2017;14.04.2018;29.99;72.15
75170-1;The Phantom;17.02.2017;21.12.2017;39.99;251.64
75171-1;Battle on Scarif;17.02.2017;25.11.2017;59.99;120.18
75172-1;Y-wing Starfighter;17.02.2017;14.04.2018;69.99;135.75
75173-1;Luke's Landspeeder;17.02.2017;13.04.2018;29.99;29.08
75174-1;Desert Skiff Escape;17.02.2017;14.04.2018;39.99;78.91
75175-1;A-Wing Starfighter;17.02.2017;23.12.2017;49.99;111.46
75523-1;Scarif Stormtrooper;17.02.2017;30.03.2018;24.99;30.80
75524-1;Chirrut Îmwe;17.02.2017;04.04.2018;24.99;18.48
75525-1;Baze Malbus;17.02.2017;04.04.2018;24.99;22.73
75877-1;Mercedes-AMG GT3;17.02.2017;28.12.2018;14.99;51.45
75878-1;Bugatti Chiron;17.02.2017;04.04.2018;14.99;78.50
75879-1;Scuderia Ferrari SF16-H;17.02.2017;03.01.2019;14.99;57.93
75881-1;2016 Ford GT & 1966 Ford GT40;17.02.2017;27.11.2018;34.99;110.00
75882-1;Ferrari FXX K & Development Center;17.02.2017;15.01.2018;49.99;127.59
75883-1;Mercedes AMG Petronas Formula One Team;17.02.2017;27.12.2018;99.99;219.50
853687-1;Accessory Set;01.03.2017;13.11.2018;12.99;39.60
911720-1;The Ghost;01.03.2007;01.04.2007;0.00;14.80
21035-1;Solomon R. Guggenheim Museum;02.04.2017;19.12.2018;69.99;119.32
41593-1;Captain Jack Sparrow;02.04.2017;01.02.2018;9.99;35.19
41594-1;Captain Armando Salazar;02.04.2017;31.03.2018;9.99;8.80
911722-1;TIE Advanced;01.05.2017;01.06.2017;0.00;4.34
21137-1;The Mountain Cave;02.07.2017;12.12.2018;249.99;1584.00
21309-1;NASA Apollo Saturn V;02.06.2017;09.12.2019;119.99;145.44
30402-1;Snowboard Tricks;01.01.2017;01.01.2019;4.39;8.54
30611-1;R2-D2;14.05.2017;14.05.2019;0.00;21.05
40176-1;Scarif Stormtrooper;01.09.2017;03.09.2017;0.00;25.22
40265-1;Tic-Tac-Toe;01.04.2017;01.04.2019;4.99;7.99
40266-1;Storage Box;01.10.2017;31.10.2017;5.27;9.67
41145-1;Ariel and the Magical Spell;01.08.2017;08.12.2018;29.99;70.54
41146-1;Cinderella's Enchanted Evening;01.08.2017;01.12.2018;39.99;44.93
41315-1;Heartlake Surf Shop;29.05.2017;19.01.2020;19.99;21.11
41316-1;Andrea's Speedboat Transporter;29.05.2017;06.01.2019;29.99;34.77
41317-1;Sunshine Catamaran;29.05.2017;27.11.2018;69.99;68.56
41318-1;Heartlake Hospital;29.05.2017;27.10.2018;89.99;232.61
41319-1;Snow Resort Hot Chocolate Van;01.08.2017;07.01.2019;24.99;34.75
41320-1;Heartlake Frozen Yogurt Shop;01.08.2017;24.01.2019;39.99;42.91
41321-1;Snow Resort Off-Roader;01.08.2017;28.11.2017;14.99;29.46
41322-1;Snow Resort Ice Rink;01.08.2017;18.02.2019;29.99;35.58
41323-1;Snow Resort Chalet;01.08.2017;27.11.2018;39.99;57.46
41324-1;Snow Resort Ski Lift;01.08.2017;06.02.2019;59.99;143.78
60153-1;People Pack Fun at the Beach;29.05.2017;27.12.2018;39.99;43.93
75166-1;First Order Transport Speeder Battle Pack;02.06.2017;14.04.2018;14.99;24.14
75167-1;Bounty Hunter Speeder Bike Battle Pack;02.06.2017;14.04.2018;14.99;37.85
75178-1;Jakku Quadjumper;02.06.2017;03.01.2019;59.99;70.94
75180-1;Rathtar Escape;02.06.2017;11.04.2019;89.99;79.17
75182-1;Republic Fighter Tank;02.06.2017;15.12.2018;29.99;83.59
75183-1;Darth Vader Transformation;02.06.2017;14.04.2018;29.99;65.95
75185-1;Tracker I;02.06.2017;30.12.2018;69.99;105.75
75186-1;The Arrowhead;02.06.2017;29.12.2018;89.99;150.54
75191-1;Jedi Starfighter with Hyperdrive;02.06.2017;12.07.2019;109.99;337.69
75531-1;Stormtrooper Commander;02.06.2017;04.05.2018;24.99;53.65
75532-1;Scout Trooper & Speeder Bike;02.06.2017;28.11.2018;54.99;76.89
75880-1;McLaren 720S;02.06.2017;21.12.2018;14.99;39.10
75995-1;Mercedes AMG Petronas Team Gift 2017;01.12.2017;01.12.2019;0.00;1900.31
911723-1;Vulture Droid;01.06.2007;01.07.2007;0.00;4.84
911724-1;A-Wing;01.07.2007;01.08.2007;0.00;3.93
21036-1;Arc de Triomphe;01.08.2017;24.11.2018;34.99;76.36
21037-1;LEGO House;01.09.2017;01.05.2020;49.99;76.92
21135-1;The Crafting Box 2;01.08.2017;03.12.2019;69.99;87.99
21136-1;The Ocean Monument;01.08.2017;25.03.2019;119.99;220.00
21310-1;Old Fishing Store;02.09.2017;31.10.2018;149.99;381.66
30497-1;First Order Heavy Assault Walker;01.09.2017;03.09.2017;3.51;5.14
40170-1;Build My City Accessory Set;01.08.2017;06.04.2019;9.99;22.34
40264-1;Build My Heartlake City Accessory Set;01.08.2017;27.02.2018;9.99;9.08
41325-1;Heartlake City Playground;02.09.2017;23.11.2018;39.99;141.47
41496-1;San Diego Comic-Con Supergirl & Martian Manhunter;21.07.2017;22.07.2017;35.20;349.18
41497-1;San Diego Comic-Con Spider-Man & Venom;20.07.2017;22.07.2017;39.99;720.70
75176-1;Resistance Transport Pod;02.09.2017;01.04.2019;39.99;29.22
75177-1;First Order Heavy Scout Walker;02.09.2017;07.04.2019;59.99;44.28
75179-1;Kylo Ren's TIE Fighter;02.09.2017;14.04.2018;79.99;158.40
75187-1;BB-8;02.09.2017;11.01.2020;99.99;151.22
75188-1;Resistance Bomber;02.09.2017;24.03.2019;109.99;198.33
75189-1;First Order Heavy Assault Walker;02.09.2017;13.04.2018;139.99;175.29
75190-1;First Order Star Destroyer;02.09.2017;28.10.2019;149.99;235.03
75526-1;Elite TIE Fighter Pilot;02.09.2017;06.04.2019;19.99;33.61
75528-1;Rey;02.09.2017;15.01.2018;24.99;23.02
75529-1;Elite Praetorian Guard;02.09.2017;05.08.2018;24.99;38.83
75530-1;Chewbacca;02.09.2017;26.11.2018;34.99;42.23
853656-1;City Playmat;01.08.2017;02.12.2018;24.99;35.45
853671-1;Playmat and Accessory Set;01.08.2017;02.04.2019;24.99;54.72
DCBHZ-1;Wonder Woman;16.07.2017;31.07.2017;0.00;98.40
561704-1;Turtle on a Beach;01.01.2017;01.02.2017;0.00;2.99
911725-1;Sandcrawler;01.08.2017;01.09.2017;0.00;3.97
911727-1;Rey's Speeder;01.10.2017;01.11.2017;0.00;2.89
41489-1;Rey & Kylo Ren;01.01.2018;01.01.2020;17.59;41.80
21312-1;Women of NASA;01.11.2017;12.06.2019;24.99;34.25
41485-1;Finn;01.11.2017;12.07.2018;9.99;27.32
41486-1;Captain Phasma;01.11.2017;24.09.2018;9.99;44.00
41487-1;Lloyd;24.09.2017;29.03.2018;9.99;40.65
41488-1;Master Wu;24.09.2017;03.04.2018;9.99;23.35
41498-1;Boba Fett and Han Solo in Carbonite;05.10.2017;08.10.2017;39.99;488.69
5004938-1;NINJAGO Minifigure Collection;01.10.2017;01.12.2017;14.99;142.62
561706-1;Home Bakery;01.01.2017;01.02.2017;0.00;2.75
REDTEMPLE-1;Red Temple;23.09.2017;23.09.2017;0.00;9.61
911728-1;First Order Snowspeeder;01.10.2017;07.11.2017;0.00;4.22
911729-1;Droid Gunship;01.11.2017;01.12.2017;0.00;3.92
TRUBB8-1;BB 8;04.10.2017;04.10.2017;0.00;17.52
10260-1;Downtown Diner;01.01.2018;01.11.2020;149.99;267.19
10401-1;Rainbow Fun;01.01.2018;06.11.2018;4.99;6.93
10402-1;Fun Future;01.01.2018;25.11.2018;9.99;10.14
10403-1;World Fun;01.01.2018;29.01.2019;19.99;19.17
10404-1;Ocean's Bottom;01.01.2018;12.12.2018;29.99;35.96
10405-1;Mission to Mars;02.03.2018;17.12.2018;49.99;87.99
10712-1;Bricks and Gears;01.01.2018;11.01.2020;19.99;26.30
10713-1;Creative Suitcase;01.01.2018;13.03.2025;19.99;17.59
10715-1;Bricks on a Roll;29.12.2017;29.12.2019;24.99;32.77
10754-1;Spider-Man vs. Scorpion Street Showdown;01.01.2018;06.08.2019;22.99;37.08
21138-1;The Melon Farm;01.01.2018;15.03.2019;14.99;39.60
21139-1;The Nether Fight;01.01.2018;18.12.2018;14.99;42.89
21140-1;The Chicken Coop;01.01.2018;12.11.2020;19.99;30.79
21141-1;The Zombie Cave;01.01.2018;25.11.2020;19.99;24.48
21142-1;The Polar Igloo;01.01.2018;10.01.2020;39.99;60.86
21143-1;The Nether Portal;01.01.2018;24.10.2020;49.99;86.16
21144-1;The Farm Cottage;01.01.2018;24.11.2018;59.99;177.91
30356-1;Hot Dog Stand;01.01.2018;15.01.2018;0.00;11.74
30358-1;Dragster;01.01.2018;13.02.2018;0.00;3.58
30380-1;Kylo Ren's Shuttle;01.01.2018;01.01.2020;0.00;3.96
30532-1;Turbo;10.08.2018;27.01.2019;3.49;4.82
40270-1;Valentine's Bee;01.01.2018;01.11.2019;9.99;16.28
40307-1;Castle Interior Kit;01.01.2018;17.09.2019;9.99;10.52
40388-1;Mini-Doll Dress-Up Kit;01.01.2018;14.05.2020;9.99;20.02
41151-1;Mulan's Training Day;01.01.2018;24.02.2019;14.99;13.16
41152-1;Sleeping Beauty's Fairytale Castle;01.01.2018;24.11.2018;39.99;80.61
41153-1;Ariel's Royal Celebration Boat;01.01.2018;31.01.2020;49.99;52.07
41154-1;Cinderella's Dream Castle;01.01.2018;30.11.2019;79.99;87.12
41327-1;Mia's Bedroom;01.01.2018;13.12.2018;9.99;18.84
41328-1;Stephanie's Bedroom;01.01.2018;03.01.2019;9.99;15.78
41329-1;Olivia's Deluxe Bedroom;01.01.2018;28.12.2018;14.99;21.60
41330-1;Stephanie's Soccer Practice;01.01.2018;27.11.2018;14.99;21.80
41332-1;Emma's Art Stand;01.01.2018;26.08.2019;19.99;25.56
41333-1;Olivia's Mission Vehicle;01.01.2018;25.01.2020;19.99;26.63
41334-1;Andrea's Park Performance;01.01.2018;06.02.2019;24.99;26.41
41335-1;Mia's Tree House;01.01.2018;01.12.2020;29.99;32.65
41336-1;Emma's Art Café;01.01.2018;15.07.2019;32.99;38.02
41338-1;Stephanie's Sports Arena;01.01.2018;20.07.2019;39.99;45.48
41339-1;Mia's Camper Van;01.01.2018;10.12.2019;54.99;89.37
41340-1;Friendship House;01.01.2018;07.03.2020;69.99;113.85
41598-1;The Flash;01.01.2018;24.11.2018;9.99;30.34
41599-1;Wonder Woman;01.01.2018;05.10.2018;9.99;22.24
41600-1;Aquaman;01.01.2018;18.02.2019;9.99;15.83
41601-1;Cyborg;01.01.2018;27.11.2018;9.99;14.45
41602-1;Rey;01.01.2018;15.12.2018;9.99;12.79
41603-1;Kylo Ren;01.01.2018;18.10.2018;9.99;15.54
60182-1;Pickup & Caravan;26.11.2017;29.02.2020;29.99;52.80
70633-1;Kai Spinjitzu Master;01.01.2018;26.01.2019;9.99;20.64
70634-1;Nya Spinjitzu Master;01.01.2018;06.03.2019;9.99;43.99
70635-1;Jay Spinjitzu Master;01.01.2018;25.02.2019;9.99;22.87
70636-1;Zane Spinjitzu Master;01.01.2018;24.02.2019;9.99;35.33
70637-1;Cole Spinjitzu Master;01.01.2018;25.02.2019;9.99;25.38
70638-1;Katana V11;01.01.2018;13.01.2020;19.99;37.61
70639-1;Street Race of Snake Jaguar;01.01.2018;13.01.2020;29.99;109.86
70640-1;S.O.G. Headquarters;01.01.2018;12.06.2019;39.99;75.68
70641-1;Ninja Nightcrawler;01.01.2018;15.01.2020;39.99;89.96
70642-1;Killow vs. Samurai X;01.01.2018;21.01.2019;49.99;201.74
70643-1;Temple of Resurrection;01.01.2018;31.12.2018;69.99;221.50
75193-1;Millennium Falcon Microfighter;01.01.2018;14.07.2019;9.99;14.92
75194-1;First Order TIE Fighter Microfighter;01.01.2018;30.07.2019;9.99;14.73
75195-1;Ski Speeder vs. First Order Walker Microfighters;01.01.2018;08.03.2019;19.99;21.97
75196-1;A-Wing vs. TIE Silencer Microfighters;01.01.2018;11.01.2020;19.99;26.75
75197-1;First Order Specialists Battle Pack;01.01.2018;17.02.2019;16.99;23.56
75198-1;Tatooine Battle Pack;01.01.2018;14.04.2018;16.99;26.82
75199-1;General Grievous' Combat Speeder;01.01.2018;07.12.2019;29.99;65.77
75200-1;Ahch-To Island Training;01.01.2018;14.12.2018;29.99;37.79
75201-1;First Order AT-ST;01.01.2018;01.02.2019;59.99;59.59
75202-1;Defense of Crait;01.01.2018;03.05.2019;79.99;87.80
75204-1;Sandspeeder;02.12.2017;14.04.2018;39.99;52.76
75205-1;Mos Eisley Cantina;01.01.2018;13.04.2018;49.99;55.05
75533-1;Boba Fett;01.01.2018;09.12.2018;29.99;88.02
75534-1;Darth Vader;01.01.2018;24.12.2018;39.99;106.51
853758-1;Jay Pod;01.01.2018;21.03.2018;8.99;20.30
853759-1;Cole Pod;01.01.2018;12.04.2018;8.99;14.81
911730-1;Y-Wing;01.12.2017;01.01.2018;0.00;7.11
21313-1;Ship in a Bottle;02.02.2018;29.12.2019;69.99;87.73
30404-1;Friendship Flower;02.07.2018;01.03.2020;3.49;8.08
40271-1;Bunny;02.02.2018;17.03.2018;9.99;11.44
30403-1;Olivia's Remote Control Boat;01.01.2018;01.01.2020;3.99;5.28
30405-1;Stephanie's Hockey Practice;01.01.2018;01.01.2020;4.39;10.21
30530-1;WU-CRU Target Training;01.01.2018;01.01.2020;4.99;5.14
30531-1;Sons of Garmadon;01.01.2018;01.01.2020;4.99;5.69
30540-1;Yellow Flyer;01.01.2018;01.01.2020;0.00;4.90
30552-1;Ariel's Underwater Symphony;01.01.2018;01.01.2020;4.39;12.82
5005230-1;Zane's Kendo Training Pod;03.07.2018;26.09.2019;5.99;11.62
5005236-1;Friends Clubhouse;01.01.2018;01.01.2020;9.99;9.78
561802-1;Andrea's Fashion Design Studio;01.01.2018;01.02.2018;0.00;2.65
75884-1;1968 Ford Mustang Fastback;02.03.2018;14.12.2019;14.99;27.89
75885-1;Ford Fiesta M-Sport WRC;02.03.2018;11.01.2020;14.99;30.79
75886-1;Ferrari 488 GT3 Scuderia Corsa;02.03.2018;30.11.2019;14.99;28.29
75887-1;Porsche 919 Hybrid;02.03.2018;10.03.2019;14.99;46.07
75888-1;Porsche 911 RSR and 911 Turbo 3.0;02.03.2018;07.12.2019;39.99;70.71
75889-1;Ferrari Ultimate Garage;02.03.2018;05.12.2019;99.99;118.30
853774-1;Olivia's Satellite Pod;02.03.2018;07.07.2021;8.99;9.91
853775-1;Andrea's DJ Pod;02.03.2018;02.03.2020;8.99;11.40
853776-1;Emma's Photo Studio Pod;02.03.2018;07.07.2021;8.99;12.28
853777-1;Mia's Exploration Pod;02.03.2018;12.04.2021;8.99;11.40
853778-1;Stephanie's Pool Pod;02.03.2018;07.07.2021;8.99;12.72
21314-1;TRON: Legacy;01.04.2018;29.11.2019;34.99;59.95
41597-1;Go Brick Me;02.04.2018;19.01.2019;29.99;50.24
41604-1;Iron Man MK50;02.04.2018;25.11.2018;9.99;34.16
41605-1;Thanos;02.04.2018;27.11.2018;9.99;39.60
41606-1;Star-Lord;02.04.2018;26.11.2018;9.99;26.39
41607-1;Gamora;02.04.2018;29.12.2018;9.99;17.86
